FID,Name,Park_ID,Classification,Type_of_park,Address1,Address2,Address3,City,Zip,geom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.47,Heritage Orientation Center (Little Court House),LCH,County Historic Sites,HISTORIC,,,,ELLICOTT CITY,21043,"POLYGON ((1368618.1891089904 583569.8787980846, 1368727.0601330334 583561.9768689128, 1368727.0601330323 583577.1953991648, 1368721.499516214 583657.6780110196, 1368652.7234660806 583662.360635714, 1368643.6508807444 583628.9969347948, 1368633.7003032793 583594.4625777019, 1368618.1891089904 583569.8787980846))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.48,Pleasant Chase Playground,PCP,County Parkland,Neighborhood,,,,Jessup,20794,"POLYGON ((1369649.537196952 546448.9568967035, 1369674.1209765743 546394.2287206302, 1369711.2893100483 546410.9105710898, 1369684.656882125 546465.9314112065, 1369649.537196952 546448.9568967035))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.49,Howard County Center for the Arts/ Rockland Arts Center,CCA,County Parkland,NEIGHBORHOOD,,,,ELLICOTT CITY,21043,"POLYGON ((1367519.235627072 592134.6920200223, 1367341.2958888551 592230.9784902066, 1367325.7846945694 592239.173083417, 1367183.25730557 592316.4363907946, 1367070.874313013 592377.0178477264, 1366883.2766613725 592322.2896716672, 1366797.233432694 592297.1205639583, 1366633.3415685464 592249.4163249219, 1366511.0079985207 592213.7113116602, 1366445.1585888185 592194.3954848193, 1366473.254336957 592181.5182669192, 1366429.9400585757 592085.2317967302, 1366257.2682731343 592160.739119852, 1366196.6868162104 592023.4796836248, 1366194.9308319504 592019.6750510746, 1366316.6790738886 591940.9484234754, 1366491.6921716735 591811.0055883238, 1366702.7029467649 591843.1986330695, 1366751.870506009 591597.360836854, 1367624.8873466395 592082.8904843876, 1367519.235627072 592134.6920200223))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.50,Willowwood Playground,WWP,County Parkland,Neighborhood,,,,ELKRIDGE,21075,"POLYGON ((1374993.58262434 560409.0317535751, 1374970.4621649333 560403.4711367553, 1374967.8281885441 560307.4773306143, 1374980.1200783572 560295.7707688832, 1375005.2891860656 560292.8441284492, 1375027.5316533437 560295.7707688832, 1374993.58262434 560409.0317535751))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.51,David Force Community Park,DFP,County Parkland,COMMUNITY,,,,ELLICOTT CITY,21042,"POLYGON ((1351774.788099294 592721.7760905261, 1352018.5772472133 592695.4363266438, 1352147.6420902277 592681.6811166088, 1352212.906171846 592674.3645155379, 1352953.6388649824 592598.8571924161, 1352979.9786288664 592772.1143059392, 1353010.7083533914 593172.186052885, 1353018.02495447 593221.6462761677, 1353042.3160700498 593374.1242426377, 1352795.8929457415 593425.0477861421, 1351816.9317215022 593694.006041758, 1351186.8260366637 593222.2316042639, 1350743.1473472908 593042.8285458201, 1350719.4415597988 592854.0602380111, 1350876.6021509548 592834.4517471221, 1350932.793647234 592827.4278100806, 1351075.0283721893 592809.2826394086, 1351124.4885954775 592803.1366945112, 1351259.4067193551 592786.1621800036, 1351398.1294757952 592768.6023374277, 1351496.464594286 592756.0177835571, 1351574.3132297539 592746.0672060908, 1351675.2823246312 592733.4826522435, 1351731.1811568658 592726.4587152111, 1351774.788099294 592721.7760905261))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.52,B & O Railroad Museum,B&O,County Historic Sites,HISTORIC,2711 is old building number (Feb 06 - Address is 3711 Maryland Ave.),,,Ellicott City,21043,"POLYGON ((1370391.7332103066 582883.874281015, 1370404.903092247 582885.0449371933, 1370403.1471079858 583188.8302139408, 1370313.5919107932 583151.6618804667, 1370367.4420947249 583036.3522474756, 1370356.320861087 583026.9869980963, 1370354.5648768295 583024.6456857491, 1370363.9301262093 582926.0179032129, 1370381.7826328399 582927.7738874826, 1370391.7332103066 582883.874281015))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.53,Town and Country Park,T&C,County Parkland,NEIGHBORHOOD,,,,Ellicott City,21043,"MULTIPOLYGON (((1365113.2445285742 591274.2597332469, 1365090.124069169 591265.7724759977, 1365110.0252241022 591168.3153496305, 1365176.7526259336 590979.8397058601, 1365240.8460513754 590817.11849789, 1365274.2097522907 590565.4274208018, 1365314.012062156 590265.446776609, 1365290.5989387075 590235.3023801672, 1365441.9062490012 590242.033653156, 1365514.7795957376 590245.2529576287, 1365551.0699370836 590472.6529191475, 1365763.5440323895 590766.780282463, 1365817.9795444102 590841.4096134639, 1365935.6304897466 591002.3748371876, 1365847.8312768093 591062.9562941148, 1365842.5633240342 591066.4682626263, 1365757.9834155703 591127.9277116883, 1365875.3416968612 591198.4597460724, 1365837.2953712575 591261.6751793901, 1365824.7108174018 591283.0396545349, 1365754.7641110981 591334.5485261214, 1365664.9162498568 591197.8744179902, 1365474.6846218293 591328.9879093062, 1365424.053742368 591282.454326448, 1365345.9124428579 591210.4589718423, 1365207.4823504612 591338.3531586855, 1365286.794306147 591411.5191694695, 1365569.2151077585 591671.9901678455, 1365544.92399218 591693.939971077, 1365113.2445285742 591274.2597332469)), ((1365677.2081396682 589548.4198709582, 1365658.184976867 589591.441485305, 1365526.7788215058 589933.5657517047, 1365459.7587556294 590162.72169747, 1365337.4251856043 590157.1610806456, 1365454.4908028527 589775.234504381, 1365548.4359606965 589542.5665900996, 1365677.2081396682 589548.4198709582)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.54,Pratt Truss Bridge/Murray Hill Stream Valley,PBT,Natural Resource Areas,Historic,,,,Columbia,21042,"POLYGON ((1357743.3785947037 546037.7639161178, 1357744.5492508735 545957.2813042537, 1357881.223359011 545920.698298871, 1357955.2673619224 545860.4095059825, 1357915.1723880148 545752.4164740763, 1357910.7824273668 545701.4929305672, 1357935.658871034 545513.8952789224, 1357947.658096799 545459.4597669159, 1358088.4295015424 545262.7895299351, 1358112.4279530772 545260.4482175879, 1358157.4982157166 545472.3369848067, 1358146.376982081 545510.6759744544, 1358101.8920475268 545660.519964529, 1358108.3306564738 545940.5994538034, 1357743.3785947037 546037.7639161178))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.55,Wyndermere Playground,WMP,County Parkland,Neighborhood,,,,LAUREL,20723,"POLYGON ((1351923.4614331964 530546.7634496826, 1351979.0676013909 530573.1032135604, 1351994.5787956747 530607.3449066097, 1351960.629766673 530624.3194211036, 1351935.167994923 530627.8313896196, 1351895.6583491012 530611.7348672515, 1351923.4614331964 530546.7634496826))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.56,Font Hill Park,FHP,County Parkland,COMMUNITY,,,,ELLICOTT CITY,21043,"MULTIPOLYGON (((1351902.0969580517 584881.3063753102, 1351768.349490345 584938.6685277554, 1351646.8939124492 584990.4700633901, 1351637.2359990254 585009.7858902402, 1351569.923269109 585144.4113500769, 1351502.6105391893 585279.0368099088, 1351469.5395023187 585345.1788836514, 1351451.3943316436 585381.7618890433, 1351437.639121617 585396.6877552471, 1351370.3263917 585468.6831098528, 1351259.1140553139 585588.0900394515, 1351271.4059451246 585599.5039371253, 1351255.8947508382 585613.8444752424, 1350886.2600643754 585212.6020721231, 1350885.9674003327 585207.6267833901, 1350858.456980281 584883.6476876434, 1350888.8940407636 584867.5511652846, 1350887.430720551 584849.9913226948, 1350882.4554318152 584796.141138761, 1350879.2361273426 584754.5828446406, 1351055.7125453448 584657.4183823167, 1351053.6638970436 584556.449287452, 1351099.0268237267 584531.572843782, 1351263.2113519157 584459.8701532105, 1351244.4808531574 584658.8817025338, 1351445.8337148225 584644.2485003779, 1351542.9981771414 584618.2014005436, 1351639.8699754144 584592.4469647526, 1351708.0606974624 584574.0091300326, 1351780.6413801536 584534.206820168, 1351914.0961838178 584461.0408093887, 1352022.9672078579 584300.0755856603, 1352026.7718404206 584294.5149688544, 1352142.0814734101 584370.3149560195, 1352143.837457668 584371.7782762366, 1352168.4212372915 584389.6307828606, 1352197.3949775582 584415.3852186607, 1352218.7594527078 584439.0910061526, 1352223.4420773974 584444.0662948857, 1352227.5393739995 584449.0415836141, 1352414.8443615974 584677.3195372537, 1352423.0389548051 584687.5627787634, 1352453.4760152881 584724.4384481941, 1352457.5733118951 584729.4137369319, 1352461.963272539 584734.3890256649, 1352475.7184825668 584749.0222278207, 1352478.93778704 584751.9488682455, 1352497.3756217586 584767.4600625361, 1352517.2767766907 584780.9226085137, 1352538.6412518371 584792.0438421489, 1352560.8837191137 584801.1164274941, 1352579.0288897878 584806.0917162319, 1352584.0041785226 584807.5550364442, 1352588.9794672553 584808.7256926224, 1352695.216514909 584833.0168081963, 1352700.1918036414 584834.1874643653, 1352705.1670923743 584835.650784587, 1352711.3130372795 584837.1141048039, 1352727.9948877383 584843.2600497013, 1352744.091410108 584850.8693148249, 1352759.3099403519 584860.2345641997, 1352773.3578144205 584871.0631338006, 1352786.2350323198 584883.3550236094, 1352793.5516333976 584892.1349449066, 1352797.6489299997 584897.1102336351, 1352801.4535625596 584902.0855223727, 1352886.326135067 585013.5905227951, 1352881.3508463325 585017.3951553546, 1352854.425754367 585037.8816383876, 1352797.9415940423 584963.5449714302, 1352608.2952941011 584947.7411131007, 1352503.228902622 584938.9611918034, 1352494.156317284 584938.0831996732, 1352418.9416582035 584931.6445907232, 1352394.6505426243 584929.3032783807, 1352295.7300960494 584919.6453649579, 1352196.2243213868 584909.9874515352, 1352096.7185467272 584900.3295381077, 1351997.2127720637 584890.6716246896, 1351902.0969580517 584881.3063753102)), ((1353563.5507308482 584276.6624622305, 1353638.7653899312 584209.9350603826, 1353741.7831331096 584119.2092070183, 1353783.926755318 584082.0408735488, 1353788.902044052 584077.3582488591, 1353777.7808104132 584223.3976063696, 1353589.5978306856 584388.7527907396, 1353445.607121471 584515.1836573657, 1353350.1986434124 584598.8855736981, 1353249.2295485374 584687.5627787634, 1353178.9901781864 584749.0222278207, 1353147.6751255733 584776.5326478721, 1352915.5925393791 584953.0090658772, 1352849.1578015895 584865.7951810195, 1352845.3531690305 584860.8198922911, 1352841.255872426 584855.5519395192, 1352829.8419747453 584842.3820575711, 1352812.5747961996 584825.7002071161, 1352796.770937872 584813.4083172982, 1352961.8334581926 584749.6075559122, 1353009.2450331755 584731.1697211829, 1353079.7770675686 584703.6593011315, 1353150.8944300483 584641.0291959099, 1353260.6434462166 584544.1573976388, 1353337.906753603 584475.9666755879, 1353412.536084598 584409.8246018409, 1353488.3360717646 584342.8045359682, 1353563.5507308482 584276.6624622305)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.57,Blandair Regional Park,BLA,County Parkland,REGIONAL,6651 Route 175 (Mansion),6657 Route 175 (trailer),"5750 Oakland Mills Road (Phase 1 address, Main)",COLUMBIA,21044,"MULTIPOLYGON (((1359442.878693104 564295.6102462251, 1359366.4933778518 564271.6117946806, 1359242.6964876098 564232.3948129027, 1359140.2640725193 564200.2017681617, 1359486.1929714875 563640.6281177138, 1359638.9636019964 563401.2289304436, 1359816.0253480833 563178.8042576719, 1360015.3295614512 562976.2807398324, 1360234.5349297484 562795.7070252337, 1360471.5928046757 562639.1317621517, 1360723.869209848 562508.0182708404, 1360846.495443915 562456.5093992399, 1360866.396598847 562460.6066958521, 1360980.8282397054 562484.0198193052, 1361130.37956574 562564.209767112, 1361235.445957222 562620.693927441, 1361325.586482502 562668.9834945548, 1361329.683779106 562671.3248068927, 1361439.140131233 562844.8745844684, 1361490.3563387797 562925.9425244147, 1361530.451312688 562916.8699390742, 1361560.3030450845 562974.5247555767, 1361589.8621134425 563031.3015799398, 1361618.8358537094 563086.9077481339, 1361641.9563131153 563131.6853467317, 1361665.3694365665 563177.0482734069, 1361692.0018644896 563228.2644809593, 1361749.6566809842 563339.7694813908, 1361809.652809827 563450.9818177745, 1361936.3763404984 563675.45513885, 1361967.9840571522 563727.8420025668, 1361974.1300020595 563738.0852440717, 1361974.7153301453 563738.9632362019, 1362052.8566296597 563861.2968062299, 1362099.6828765576 563933.2921608402, 1362197.140002918 564084.3068070931, 1362240.7469453432 564151.6195370045, 1362283.76855968 564218.3469388337, 1362326.7901740207 564284.7816766242, 1362369.8117883594 564351.2164144146, 1362428.3445969839 564441.6496037403, 1362498.2913032896 564549.9352996945, 1362524.6310671691 564590.9082657328, 1362613.0156081908 564727.2897098205, 1362627.9414743925 564750.7028332737, 1362634.965411426 564761.2387388219, 1362579.0665791912 564809.2356418971, 1362517.8997941772 564861.9151696619, 1362458.4889934238 564912.8387131616, 1362398.7855286296 564964.0549207048, 1362356.934570463 565000.0525980099, 1362337.9114076593 565016.4417844262, 1362276.1592945594 565069.4139762344, 1362214.1145174203 565122.3861680287, 1362153.2403964498 565174.7730317593, 1362087.6836507907 565231.257192079, 1362018.6149366142 565290.6679928326, 1361944.5709337029 565354.176090189, 1361840.9678624389 565443.1459592978, 1361730.6335181831 565537.9691092698, 1361624.3964705314 565631.6216030635, 1361500.0142522021 565741.077955196, 1361422.7509448207 565808.9760131988, 1361349.8775980812 565873.3621026855, 1361284.0281883802 565931.3095832221, 1361220.2274269809 565987.5010794984, 1361163.743266656 566037.2539668386, 1361107.8444344215 566086.1288620345, 1361051.3602740995 566135.881749356, 1361000.1440665522 566181.2446760499, 1360995.4614418615 566185.3419726528, 1360938.6846174973 566235.3875240225, 1360882.493121218 566284.8477473098, 1360836.252202405 566325.5280493047, 1360744.6483569096 566406.0106611643, 1360688.7495246711 566455.470884447, 1360631.9727003071 566505.2237717918, 1360575.7812040274 566554.6839950839, 1360519.589707747 566604.4368824054, 1360462.2275552973 566654.7750978183, 1360399.0121219822 566710.3812660079, 1360340.7719773995 566761.5974735604, 1360298.0430271062 566799.6437991646, 1360293.3604024136 566821.8862664348, 1360261.1673576706 566981.3881699416, 1360257.3627251124 567000.118668705, 1360256.4847329834 567003.9233012692, 1360268.1912947053 567021.1904798016, 1360209.6584860843 567018.5565034203, 1360207.0245096942 567000.118668705, 1360203.805205219 566976.4128812038, 1360207.0245096942 566936.0252432616, 1359852.0230253905 565666.1559601565, 1359851.7303613464 565664.692639944, 1359836.5118311052 565610.2571279235, 1359835.6338389758 565607.0378234462, 1359765.687132669 565356.5174025362, 1359665.8886939634 565000.0525980099, 1359617.3064628053 564825.9174923614, 1359616.428470676 564822.698187884, 1359622.2817515386 564822.4055238498, 1359605.3072370365 564765.3360354202, 1359601.5026044783 564751.8734894472, 1359600.6246123475 564748.9468490132, 1359592.722683183 564722.314421092, 1359543.5551239385 564556.9592367267, 1359518.9713443187 564474.7206406115, 1359518.0933521881 564473.2573203945, 1359471.5597693303 564304.6828315518, 1359442.878693104 564295.6102462251)), ((1359265.5242829747 561759.090984492, 1359216.6493877745 561797.722638183, 1359185.626999204 561828.1596986637, 1359157.8239151055 561861.8160636263, 1359133.5327995254 561898.1064049748, 1359115.3876288545 561932.640762063, 1359113.3389805525 561936.4453946225, 1359109.8270120337 561965.7117989343, 1359103.6810671277 562014.0013660435, 1359102.2177469134 562078.972783617, 1359107.7783637322 562143.9442011905, 1359112.168324379 562170.2839650821, 1359127.9721827095 562273.3017082507, 1359132.0694793107 562364.0275616196, 1359132.6548073958 562380.4167480359, 1359133.8254635707 562396.8059344522, 1359198.2115530558 563335.6721847787, 1359198.211553055 563344.7447701241, 1359197.3335609287 563363.4752688828, 1359194.4069204961 563382.2057676414, 1359189.4316317614 563400.3509383182, 1359182.7003587724 563417.910780894, 1359174.2131015223 563434.5926313582, 1359163.9698600115 563450.3964896877, 1359151.9706342423 563465.0296918435, 1359138.8007523038 563478.1995737917, 1358305.586221538 564348.5824380287, 1357898.4905375545 563997.3855862882, 1357897.612545426 563996.8002581921, 1357893.8079128652 563993.288289676, 1357892.929920737 563992.7029615846, 1357758.597124945 563876.2226724199, 1357702.4056286663 563826.7624491416, 1357608.1678067797 563744.2311889831, 1357548.4643419848 563691.5516612135, 1357485.2489086702 563636.2381570676, 1357425.252779831 563583.8512933461, 1357727.2820723297 562944.9656872122, 1357734.89133745 562928.8691648534, 1357759.1824530314 562873.8483247368, 1357767.0843821932 562857.4591383252, 1358139.6457090892 562078.9727836216, 1358144.3283337771 562069.6075342422, 1358259.637966767 562100.337258771, 1358409.4819568468 562112.9218126324, 1358421.481182613 562114.9704609221, 1358444.6016420196 562117.0191092306, 1358468.0147654708 562116.7264451872, 1358491.4278889196 562113.7998047533, 1358514.2556842833 562108.5318519768, 1358536.2054875162 562100.9225868577, 1358557.5699626643 562090.9720093822, 1358583.617062504 562079.5581117085, 1358628.687325144 562063.7542533836, 1358675.5135720426 562052.633019744, 1358686.0494775942 562049.1210512185, 1358775.6046747898 562013.7087020047, 1358861.0625753796 561968.9311034116, 1358941.2525231952 561915.6662475601, 1359265.5242829747 561759.090984492)), ((1360168.100191958 561750.018399156, 1360202.049220961 561897.5210768881, 1360230.4376331433 562019.561982868, 1360246.2414914737 562087.7527049142, 1360261.7526857585 562155.9434269604, 1360310.6275809603 562366.9542020537, 1360314.4322135197 562383.6360525133, 1360056.3025274875 562554.5518536892, 1359812.5133795692 562755.0267232342, 1359591.2593629675 562980.0853723873, 1359394.881790034 563226.8011607424, 1359225.1366450223 563492.8327759429, 1358897.0602526863 564122.6457967315, 1358662.0510260588 564048.6017938267, 1359225.1366450232 563462.395715453, 1359259.0856740267 563380.4497833812, 1359190.8949519778 562380.7094120746, 1359190.8949519768 562377.4901076113, 1359185.6269992015 562267.4484273874, 1359168.9451487432 562158.577403351, 1359165.4331802253 562136.042272028, 1359160.4578914954 562077.2167993658, 1359161.628547666 562018.098662651, 1359168.945148744 561959.5658540323, 1359185.0416711157 561928.5434654555, 1359205.820818177 561897.5210768834, 1359229.52660567 561868.8400006632, 1359256.4516976378 561842.7929008241, 1359285.4254379084 561819.6724414146, 1359317.0331545637 561799.7712864821, 1359350.396855481 561783.0894360271, 1359385.5165406524 561770.2122181364, 1359501.704165774 561713.7280578074, 1359632.232329004 561666.023818785, 1359634.5736413482 561665.1458266454, 1359785.8809516423 561602.2230573804, 1359930.1643249025 561524.0817578634, 1360086.4469239279 561396.7728991071, 1360097.2754935226 561443.8918100565, 1360100.7874620426 561459.6956683766, 1360135.6144831749 561609.5396584467, 1360168.100191958 561750.018399156)), ((1358708.5846089143 566338.1126031615, 1358837.3567878883 566278.4091383644, 1359001.8339801237 566202.0238231078, 1359147.873337639 566228.6562510383, 1359156.3605948915 566238.314164461, 1359188.846303676 566276.3604900653, 1359259.0856740272 566358.0137580938, 1359303.2779445376 566409.522629685, 1359347.7628790902 566461.6168293584, 1359391.6624855592 566512.8330369062, 1359437.903404374 566566.3905567966, 1359483.8516591422 566619.9480766868, 1359529.2145858274 566672.9202684903, 1359553.2130373642 566700.7233525851, 1359580.1381293281 566723.2584839127, 1359634.5736413512 566768.3287465492, 1359689.0091533714 566813.6916732338, 1359738.7620407012 566854.9573033061, 1359786.7589437733 566895.0522772188, 1359803.1481301894 566908.5148232057, 1359808.1234189211 566959.4383667101, 1359812.2207155232 567000.1186687003, 1359815.7326840416 567030.8483932337, 1359823.927277248 567098.4537871884, 1359831.5365423693 567175.4244305271, 1359674.0832871716 567308.879234195, 1359657.4014367117 567292.19738374, 1359368.2493621113 567000.1186687096, 1358992.4687307419 566620.5334047736, 1358708.5846089143 566338.1126031615)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.58,Elkhorn Park,VOB,County Parkland,NEIGHBORHOOD,9260 Oakland Mills Rd (old),,,Columbia,21045,"POLYGON ((1359848.2183928294 555561.3445433192, 1359810.172067223 555627.7792811049, 1359810.75739531 555626.3159608972, 1359811.3427233945 555624.852640671, 1359812.2207155232 555622.5113283285, 1359812.5133795682 555619.8773519519, 1359812.8060436107 555617.2433755612, 1359812.5133795694 555614.6093991661, 1359812.220715525 555611.9754227801, 1359811.6353874372 555609.3414463896, 1359810.7573953075 555607.0001340423, 1359809.5867391373 555604.6588216999, 1359808.12341892 555602.3175093574, 1359806.6600987043 555600.2688610536, 1359804.9041144461 555598.5128767886, 1359802.8554661456 555596.7568925329, 1359800.5141537993 555595.2935723206, 1359778.5643505657 555582.1236903816, 1359752.8099147712 555627.4866170709, 1359743.444665391 555643.8758034732, 1359733.494087924 555660.2649898893, 1359623.1597436673 555844.3506730228, 1359613.501830244 555860.7398594298, 1359602.965924694 555877.1290458459, 1359544.140452025 555970.488875601, 1359564.6269350443 555983.9514215878, 1359566.9682473894 555985.1220777521, 1359569.309559736 555986.2927339257, 1359571.9435361212 555987.1707260606, 1359574.2848484654 555987.7560541474, 1359576.9188248564 555988.0487181861, 1359579.552801243 555988.0487181908, 1359582.1867776313 555987.7560541381, 1359584.8207540202 555987.1707260606, 1359587.1620663654 555986.2927339303, 1359589.7960427508 555985.4147418002, 1359591.8446910544 555983.9514215878, 1359594.186003399 555982.4881013709, 1359595.9419876584 555980.7321171105, 1359597.697971917 555978.6834688067, 1359598.8686280877 555977.5128126332, 1359560.5296384392 556038.3869336038, 1359560.2369743956 556036.630949348, 1359559.944310353 556029.3143482677, 1359559.651646312 556026.6803718725, 1359559.0663182233 556024.0463954912, 1359558.188326094 556021.7050831534, 1359557.0176699238 556019.3637708016, 1359555.554349709 556017.0224584544, 1359554.0910294908 556014.9738101553, 1359552.3350452315 556013.2178259043, 1359550.286396933 556011.4618416346, 1359528.629257741 555995.0726552136, 1359446.097997581 556125.8934824954, 1359435.5620920283 556142.2826689163, 1359341.0316060993 556124.7228263312, 1359198.2115530546 556098.3830624442, 1359131.4841512253 555853.130594306, 1359268.4509234037 555103.032651784, 1359517.8006881452 555244.9747127056, 1359859.6322905093 555439.888965412, 1359793.1975527206 555556.6619186294, 1359814.8546919138 555569.2464724815, 1359817.1960042573 555570.4171286551, 1359819.537316602 555571.2951207852, 1359822.1712929914 555571.8804488675, 1359824.8052693794 555572.1731129108, 1359827.439245767 555572.4657769542, 1359829.78055811 555572.1731129155, 1359832.4145344994 555571.8804488721, 1359835.048510887 555571.2951207807, 1359837.389823233 555570.1244646164, 1359839.7311355788 555568.9538084335, 1359842.0724479228 555567.4904882257, 1359844.1210962238 555566.0271680042, 1359845.8770804824 555563.9785196912, 1359846.7550726144 555563.1005275749, 1359848.2183928294 555561.3445433192))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.59,Dunloggin Park,DUN,County Parkland,NEIGHBORHOOD,,,,ELLICOTT CITY,21042,"POLYGON ((1360736.4537636994 579247.8162092657, 1360761.037543322 579509.750527868, 1360756.0622545914 579509.45786382, 1360559.3920176136 579502.4339267925, 1360389.646872603 579495.1173257076, 1360378.8183030062 579494.8246616689, 1360149.3696931994 579478.4354752572, 1359876.0214769235 579458.8269843683, 1359754.8585630744 579447.4130866805, 1359650.084835637 579457.9489922381, 1359462.4871839934 579378.9297005909, 1360221.65771185 579182.2594636147, 1360226.633000583 579181.0888074365, 1360686.7008763698 579094.4602506796, 1360689.3348527572 579093.8749225928, 1360694.310141492 579092.9969304673, 1360699.285430223 579092.4116023758, 1360699.578094269 579092.4116023758, 1360702.2120706555 579092.7042664192, 1360704.8460470447 579092.996930458, 1360707.187359388 579093.8749225836, 1360709.528671735 579094.752914723, 1360711.8699840768 579095.9235708873, 1360714.2112964236 579097.3868911089, 1360716.2599447255 579099.1428753646, 1360718.0159289832 579101.1915236684, 1360719.4792492006 579103.2401719722, 1360720.942569416 579105.2888202713, 1360722.1132255874 579107.6301326185, 1360722.9912177173 579110.264109009, 1360723.5765458038 579112.6054213516, 1360723.8692098479 579114.946733694, 1360736.4537636994 579247.8162092657))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
