FID,Name,Park_ID,Classification,Type_of_park,Address1,Address2,Address3,City,Zip,geom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.11,Kiwanis Wallas Hall and Park,KWP,County Parkland,COMMUNITY,10481 FREDERICK RD (Community Center)(Old),,,ELLICOTT CITY,21042,"POLYGON ((1347848.4072967826 587332.3677364462, 1347878.2590291789 587422.5082617284, 1347908.6960896654 587513.8194431843, 1347940.0111422772 587608.642593161, 1347972.4968510629 587706.0997195143, 1348000.592599205 587790.3869639332, 1348034.248964163 587892.2340509281, 1348064.1006965602 587982.0819121763, 1348108.5856311158 588116.1220439216, 1348042.4435573686 588148.9004167586, 1347969.8628746779 588168.2162436043, 1347926.5485962944 588173.1915323327, 1347721.0984380243 588234.3583173467, 1347655.249028322 588250.1621756807, 1347613.3980701538 588106.4641304988, 1347548.7193166267 588122.8533169151, 1347522.3795527439 588034.7614399365, 1347401.8019669792 588131.6332382122, 1347459.164119431 588308.6949842948, 1347193.7178323183 588384.7876355128, 1346945.2460597104 588461.1729507647, 1346859.78815912 588211.530521985, 1347145.1356011613 587623.2757953122, 1347623.641311665 586643.7292429861, 1347660.2243170543 586751.1369468102, 1347691.8320337096 586842.4481282661, 1347724.610406542 586942.8318950533, 1347755.9254591549 587035.3137326782, 1347801.2883858401 587181.9384182848, 1347848.4072967826 587332.3677364462))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.12,Hawthorn Park,HAW,County Parkland,NEIGHBORHOOD,,,,Columbia,21044,"POLYGON ((1346017.2083789727 560585.8008356191, 1346086.2770931511 560629.9931061299, 1346209.7813193456 560709.3050618159, 1346198.9527497508 560748.8147076325, 1346174.954298214 560835.7359284376, 1346065.4979460894 561232.881034954, 1346060.8153213996 561249.8555494617, 1345921.2145728285 561195.7127014798, 1345843.073273317 561165.5683050379, 1345834.0006879775 561162.0563365172, 1345745.9088110002 561127.8146434864, 1345544.8486133742 561049.9660079988, 1345549.8239021099 561033.5768215873, 1345612.7466713795 560823.4440386288, 1345504.4609754242 560748.8147076279, 1345325.0579169937 560625.6031454791, 1345323.3019327337 560624.4324893054, 1345625.3312252334 560334.4024225789, 1345717.5203988163 560393.5205592891, 1345785.7111208646 560437.1275017133, 1345853.0238507823 560480.441780094, 1345886.6802157406 560502.0989192822, 1345945.505688409 560539.8525808523, 1346017.2083789727 560585.8008356191))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.13,Dayton Park,DAY,County Parkland,NEIGHBORHOOD,GOSSELIN PROPERTY (GOS),"4671 Ten Oaks Road (Carl, Oct 2013)",,DAYTON,21036,"POLYGON ((1316717.7330300012 573833.5314115342, 1317117.5121129034 573609.0580904634, 1317285.5012736537 573417.3631422063, 1317492.707416184 573695.6866472203, 1317689.3776531625 573643.2997835082, 1317687.3290048584 574175.6556779434, 1316944.840327462 574332.2309410116, 1316861.7237392154 574110.3915963265, 1316717.7330300012 573833.5314115342))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.14,Lisbon Park,LIS,County Parkland,NEIGHBORHOOD,,,,LISBON,21765,"POLYGON ((1293016.0428338044 607011.6833239892, 1293054.6744874944 607106.2138099177, 1293262.7586221558 607674.8600457016, 1292789.520864428 607831.1426447356, 1292667.4799584448 607474.970504262, 1292368.962634462 607585.0121844674, 1292259.213618293 607301.4207266861, 1293016.0428338044 607011.6833239892))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.15,Manor Woods Park,MAN,County Parkland,COMMUNITY,,,,COLUMBIA,21042,"POLYGON ((1335251.268888725 589130.4956173839, 1335707.8247959907 589168.2492789493, 1336260.3745094058 589205.1249483802, 1336581.4269647086 589791.6236907971, 1336814.6802070779 590216.8645454426, 1337000.8145385024 590556.9401635526, 1336651.0810069712 590719.661371532, 1336646.1057182369 590722.0026838746, 1336643.4717418512 590726.9779726029, 1336412.5598118296 591206.9470033263, 1336275.0077115593 591251.7246019193, 1335779.8201505996 590568.6467252745, 1336024.1946266056 590499.5780110982, 1335760.796987799 589753.2847011402, 1335440.3298605788 589822.9387434034, 1335435.0619078043 589824.1093995817, 1335424.5260022515 589794.5503312266, 1335185.1268149784 589125.2276646073, 1335187.4681273245 589125.227664612, 1335251.268888725 589130.4956173839))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.16,Worthington Dog Park,WOR,County Parkland,COMMUNITY,4575 NEW CUT RD. (wor groundwater),8170 HILLSBOROUGH RD.(dog Park),8171 HILLSBOROUGH RD.(neighborhd pk,Ellicott City,21043,"POLYGON ((1370886.0427791353 576457.8498862026, 1370529.5779746168 576750.513929329, 1370495.9216096564 576778.3170134143, 1370431.5355201683 576831.289205218, 1370337.2976982838 576908.5525126047, 1369501.1565270876 577594.8496937363, 1369489.742629407 577555.340047901, 1369303.3156339393 577383.8389186383, 1369248.8801219193 577258.8713722244, 1369235.4175759358 577109.6127102273, 1369204.1025233192 576996.6443895834, 1369199.4198986317 576933.7216203182, 1369205.2731794936 576910.0158328217, 1369223.4183501676 576869.0428667881, 1369261.757339816 576805.2421053882, 1369289.2677598696 576764.8544674368, 1369292.487064344 576754.0258978358, 1369293.0723924297 576752.5625776235, 1369295.1210407328 576745.83130463, 1369299.511001379 576732.0760945997, 1369302.4376418092 576722.1255171382, 1369277.561198143 576570.8182068419, 1369193.8592818105 576293.3726939674, 1369120.107942943 576072.4113414126, 1369023.236144672 575808.7210385499, 1368940.7048845112 575619.660066702, 1368848.2230468837 575464.8407878897, 1368835.6384930327 575290.413018193, 1368872.5141624652 575032.2833321547, 1369705.4360291858 574314.9637624697, 1370324.4204803891 575251.4887004584, 1371039.398737731 576332.2970117019, 1370886.0427791353 576457.8498862026))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.17,Hollifield Station Park,HOL,County Parkland,NEIGHBORHOOD,2701 Patapsco Valley Drive (old),,,ELLICOTT CITY,21043,"POLYGON ((1363949.3196290827 596974.4773011113, 1363927.6624898931 596921.2124452643, 1363802.1096153914 596595.7700293101, 1364292.6145516632 596476.0704356728, 1364303.7357853036 596495.0935984749, 1364319.53964363 596521.7260264053, 1364409.6801689109 596482.216380584, 1364419.3380823364 596506.507496158, 1364429.2886598 596542.2125094244, 1364326.5635806676 596544.5538217577, 1364328.612228969 596577.9175226862, 1364330.3682132254 596600.1599899611, 1364331.8315334406 596621.8171291538, 1364333.2948536575 596644.059596424, 1364334.7581738732 596666.3020637082, 1364336.5141581325 596692.3491635378, 1364436.6052608793 596690.0078512, 1364437.1905889655 596719.8595835984, 1364437.7759170532 596730.1028251126, 1364337.099486218 596732.4441374459, 1364331.8315334439 596757.3205811114, 1364327.4415727945 596778.9777203134, 1364323.9296042759 596795.6595707682, 1364322.1736200184 596800.342195458, 1364313.979026813 596820.5360144337, 1364305.4917695604 596841.607825535, 1364293.19987975 596872.0448860249, 1364251.3489215844 596884.6294398723, 1363949.3196290827 596974.4773011113))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.18,Waverly Mansion,WAV,County Historic Sites,HISTORIC,2320 WAVERLY MANSION DR.,,,MARRIOTTSVILLE,21104,"POLYGON ((1341644.5149107017 598390.3859417317, 1341642.173598357 598290.5875030314, 1341941.861578514 598283.8562300424, 1341954.1534683222 598782.5557595151, 1341654.1728241236 598790.1650246248, 1341644.5149107017 598390.3859417317))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.19,Allenford/North Farm Park,ALL,County Parkland,NEIGHBORHOOD,,,,ELLICOTT CITY,21042,"POLYGON ((1351908.2429029548 595784.7979658315, 1352219.0521167486 595882.5477562235, 1352352.5069204136 595885.4743966528, 1352378.846684295 595854.4520080946, 1352334.947077827 595711.0466269607, 1352480.1084432139 595644.0265610788, 1352499.7169341026 595684.9995271218, 1352545.079860788 595668.9030047395, 1352546.8358450464 595668.3176766621, 1352729.4582079537 595602.1756029197, 1352783.3083918886 595762.2628345039, 1352889.2527754968 595990.8334521824, 1353077.728419268 596389.4418789158, 1353022.4149151153 596455.5839526536, 1352981.734613122 596504.458847859, 1352955.9801773299 596536.0665645131, 1352886.618799109 596620.6464729756, 1352603.9053334547 596965.6973798141, 1352526.642026072 596963.9413955536, 1352438.5501490925 596895.7506735122, 1352416.0150177688 596848.3390985237, 1352347.8242957233 596705.811709534, 1352316.8019071526 596640.8402919513, 1352263.8297153485 596529.6279555678, 1352137.106184677 596263.8890044151, 1352027.357168507 596034.4403945972, 1351908.2429029548 595784.7979658315, 1351908.2429029548 595784.7979658315))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.20,Cypressmede Park,CYP,County Parkland,NEIGHBORHOOD,,,,ELLICOTT CITY,21043,"POLYGON ((1353346.3940108507 589256.6338199714, 1353378.5870555937 589003.7720867096, 1353381.8063600701 588978.8956430443, 1353398.4882105275 588854.2207606784, 1353399.0735386137 588848.3674798105, 1353481.019470687 588859.1960494114, 1353550.6735129508 588868.5612987909, 1353729.4912432984 588891.9744222346, 1353886.3591704092 588912.7535693018, 1354084.785391648 588939.0933331841, 1354114.3444600021 589002.308766502, 1354148.0008249618 589073.7187930208, 1354202.7290010254 589190.784410263, 1354239.8973345004 589269.5110378715, 1354282.918948841 589361.4075474142, 1354326.2332272197 589453.8893850343, 1354372.474146033 589552.5171675705, 1354359.5969281376 589560.1264326755, 1354276.1876758467 589610.4646480979, 1354190.7297752546 589661.9735196983, 1354104.9792106235 589713.7750553236, 1354003.1321236142 589774.9418403376, 1353960.4031733184 589800.6962761285, 1353858.2634222715 589862.1557251813, 1353772.8055216814 589913.6645967772, 1353686.4696289594 589965.7587964504, 1353597.2070958072 590019.3163163409, 1353504.7252581797 590075.2151485784, 1353411.072764382 590131.4066448592, 1353272.642671984 589828.499360228, 1353270.0086955982 589822.6460793599, 1353274.6913202892 589822.0607512732, 1353305.4210448156 589579.1495954869, 1353332.6388008243 589365.7975080465, 1353333.809456997 589355.8469305896, 1353346.3940108507 589256.6338199714))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
